Epoch,Batch,Loss,Valid Samples,Learning Rate,Key-Value Pair Counts
1,10,2.2954,1024,0.000120,10 pairs: 1024 images;
1,20,2.2877,1024,0.000120,10 pairs: 1021 images; 4 pairs: 1 images;
24,20,1.9066,1024,0.001071,10 pairs: 74 images; 8 pairs: 117 images; 6 pairs: 213 images; 4 pairs: 279 images; 2 pairs: 340 images;
24,30,1.8943,1024,0.001071,10 pairs: 85 images; 8 pairs: 102 images; 6 pairs: 226 images; 4 pairs: 255 images; 2 pairs: 356 images;
24,40,1.8993,1024,0.001071,10 pairs: 73 images; 8 pairs: 117 images; 6 pairs: 218 images; 4 pairs: 286 images; 2 pairs: 330 images;
25,10,1.9045,1024,0.001144,10 pairs: 68 images; 8 pairs: 119 images; 6 pairs: 227 images; 4 pairs: 267 images; 2 pairs: 342 images;
25,20,1.9006,1024,0.001144,10 pairs: 75 images; 8 pairs: 93 images; 6 pairs: 208 images; 4 pairs: 286 images; 2 pairs: 361 images;
25,30,1.9238,1024,0.001144,10 pairs: 92 images; 8 pairs: 119 images; 6 pairs: 197 images; 4 pairs: 254 images; 2 pairs: 362 images;
25,40,1.9088,1024,0.001144,10 pairs: 72 images; 8 pairs: 104 images; 6 pairs: 217 images; 4 pairs: 259 images; 2 pairs: 369 images;
26,10,1.8976,1024,0.001218,10 pairs: 69 images; 8 pairs: 112 images; 6 pairs: 188 images; 4 pairs: 265 images; 2 pairs: 389 images;
26,20,1.8903,1024,0.001218,10 pairs: 88 images; 8 pairs: 105 images; 6 pairs: 181 images; 4 pairs: 292 images; 2 pairs: 357 images;
26,30,1.9004,1024,0.001218,10 pairs: 74 images; 8 pairs: 105 images; 6 pairs: 222 images; 4 pairs: 286 images; 2 pairs: 337 images;
26,40,1.8767,1024,0.001218,10 pairs: 66 images; 8 pairs: 113 images; 6 pairs: 218 images; 4 pairs: 260 images; 2 pairs: 367 images;
27,10,1.8910,1024,0.001293,10 pairs: 75 images; 8 pairs: 90 images; 6 pairs: 215 images; 4 pairs: 286 images; 2 pairs: 356 images;
27,20,1.8738,1024,0.001293,10 pairs: 77 images; 8 pairs: 91 images; 6 pairs: 191 images; 4 pairs: 269 images; 2 pairs: 396 images;
27,30,1.8924,1024,0.001293,10 pairs: 71 images; 8 pairs: 89 images; 6 pairs: 201 images; 4 pairs: 296 images; 2 pairs: 367 images;
27,40,1.9027,1024,0.001293,10 pairs: 69 images; 8 pairs: 125 images; 6 pairs: 193 images; 4 pairs: 247 images; 2 pairs: 388 images;
28,10,1.8654,1024,0.001369,10 pairs: 63 images; 8 pairs: 104 images; 6 pairs: 181 images; 4 pairs: 273 images; 2 pairs: 403 images;
28,20,1.8994,1024,0.001369,10 pairs: 85 images; 8 pairs: 115 images; 6 pairs: 193 images; 4 pairs: 251 images; 2 pairs: 378 images;
28,30,1.8823,1024,0.001369,10 pairs: 69 images; 8 pairs: 103 images; 6 pairs: 187 images; 4 pairs: 263 images; 2 pairs: 401 images;
28,40,1.8854,1024,0.001369,10 pairs: 80 images; 8 pairs: 111 images; 6 pairs: 194 images; 4 pairs: 280 images; 2 pairs: 359 images;
29,10,1.8634,1024,0.001445,10 pairs: 83 images; 8 pairs: 81 images; 6 pairs: 193 images; 4 pairs: 262 images; 2 pairs: 405 images;
29,20,1.8857,1024,0.001445,10 pairs: 68 images; 8 pairs: 92 images; 6 pairs: 218 images; 4 pairs: 251 images; 2 pairs: 395 images;
29,30,1.8655,1024,0.001445,10 pairs: 63 images; 8 pairs: 90 images; 6 pairs: 202 images; 4 pairs: 279 images; 2 pairs: 388 images;
29,40,1.8665,1024,0.001445,10 pairs: 63 images; 8 pairs: 90 images; 6 pairs: 183 images; 4 pairs: 267 images; 2 pairs: 421 images;
30,10,1.8787,1024,0.001522,10 pairs: 65 images; 8 pairs: 86 images; 6 pairs: 204 images; 4 pairs: 261 images; 2 pairs: 405 images;
30,20,1.8772,1024,0.001522,10 pairs: 77 images; 8 pairs: 79 images; 6 pairs: 176 images; 4 pairs: 288 images; 2 pairs: 404 images;
30,30,1.9014,1024,0.001522,10 pairs: 72 images; 8 pairs: 97 images; 6 pairs: 183 images; 4 pairs: 288 images; 2 pairs: 384 images;
30,40,1.8694,1024,0.001522,10 pairs: 71 images; 8 pairs: 95 images; 6 pairs: 177 images; 4 pairs: 281 images; 2 pairs: 399 images;
31,10,1.8690,1024,0.001598,10 pairs: 54 images; 8 pairs: 86 images; 6 pairs: 199 images; 4 pairs: 281 images; 2 pairs: 401 images;
31,20,1.8673,1024,0.001598,10 pairs: 60 images; 8 pairs: 78 images; 6 pairs: 165 images; 4 pairs: 290 images; 2 pairs: 429 images;
31,30,1.8831,1024,0.001598,10 pairs: 63 images; 8 pairs: 95 images; 6 pairs: 198 images; 4 pairs: 249 images; 2 pairs: 419 images;
31,40,1.8534,1024,0.001598,10 pairs: 51 images; 8 pairs: 90 images; 6 pairs: 217 images; 4 pairs: 260 images; 2 pairs: 403 images;
32,10,1.8727,1024,0.001675,10 pairs: 75 images; 8 pairs: 85 images; 6 pairs: 180 images; 4 pairs: 259 images; 2 pairs: 425 images;
32,20,1.8680,1024,0.001675,10 pairs: 70 images; 8 pairs: 90 images; 6 pairs: 199 images; 4 pairs: 262 images; 2 pairs: 402 images;
32,30,1.8733,1024,0.001675,10 pairs: 74 images; 8 pairs: 94 images; 6 pairs: 201 images; 4 pairs: 275 images; 2 pairs: 380 images;
32,40,1.8555,1024,0.001675,10 pairs: 66 images; 8 pairs: 78 images; 6 pairs: 176 images; 4 pairs: 288 images; 2 pairs: 415 images;
33,10,1.8663,1024,0.001751,10 pairs: 53 images; 8 pairs: 86 images; 6 pairs: 221 images; 4 pairs: 279 images; 2 pairs: 385 images;
33,20,1.8571,1024,0.001751,10 pairs: 60 images; 8 pairs: 90 images; 6 pairs: 173 images; 4 pairs: 272 images; 2 pairs: 428 images;
33,30,1.8702,1024,0.001751,10 pairs: 60 images; 8 pairs: 92 images; 6 pairs: 186 images; 4 pairs: 256 images; 2 pairs: 430 images;
33,40,1.8560,1024,0.001751,10 pairs: 54 images; 8 pairs: 90 images; 6 pairs: 207 images; 4 pairs: 253 images; 2 pairs: 419 images;
34,10,1.8482,1024,0.001827,10 pairs: 54 images; 8 pairs: 105 images; 6 pairs: 172 images; 4 pairs: 259 images; 2 pairs: 434 images;
34,20,1.8302,1024,0.001827,10 pairs: 43 images; 8 pairs: 104 images; 6 pairs: 172 images; 4 pairs: 287 images; 2 pairs: 416 images;
34,30,1.8502,1024,0.001827,10 pairs: 51 images; 8 pairs: 94 images; 6 pairs: 201 images; 4 pairs: 262 images; 2 pairs: 416 images;
34,40,1.8554,1024,0.001827,10 pairs: 52 images; 8 pairs: 91 images; 6 pairs: 173 images; 4 pairs: 273 images; 2 pairs: 435 images;
35,10,1.8655,1024,0.001902,10 pairs: 61 images; 8 pairs: 96 images; 6 pairs: 187 images; 4 pairs: 247 images; 2 pairs: 433 images;
35,20,1.8625,1024,0.001902,10 pairs: 48 images; 8 pairs: 80 images; 6 pairs: 152 images; 4 pairs: 306 images; 2 pairs: 437 images;
35,30,1.8453,1024,0.001902,10 pairs: 56 images; 8 pairs: 87 images; 6 pairs: 176 images; 4 pairs: 269 images; 2 pairs: 436 images;
35,40,1.8529,1024,0.001902,10 pairs: 44 images; 8 pairs: 91 images; 6 pairs: 171 images; 4 pairs: 274 images; 2 pairs: 443 images;
36,10,1.8544,1024,0.001976,10 pairs: 53 images; 8 pairs: 80 images; 6 pairs: 194 images; 4 pairs: 267 images; 2 pairs: 428 images;
36,20,1.8628,1024,0.001976,10 pairs: 45 images; 8 pairs: 93 images; 6 pairs: 174 images; 4 pairs: 251 images; 2 pairs: 460 images;
36,30,1.8606,1024,0.001976,10 pairs: 64 images; 8 pairs: 87 images; 6 pairs: 178 images; 4 pairs: 274 images; 2 pairs: 420 images;
36,40,1.8348,1024,0.001976,10 pairs: 43 images; 8 pairs: 90 images; 6 pairs: 171 images; 4 pairs: 286 images; 2 pairs: 434 images;
